model,optimizer,lr,valid loss,test loss

efficientnet_b0,Adam,0.0001,0.2962032391412838,0.29408543939526016

densenet121,Adam,0.0005,0.34399688354104146,0.33970469434042366

efficientnet_b1,Adam,0.0002,0.35764206656996084,0.32848587727212175

inception_v3,Adam,0.0002,0.2548841457737952,0.25301037124377124

efficientnet_b1,Adam,9e-05,0.3210439957729002,0.31085899193473415

efficientnet_b0,Adam,0.0001,0.7106157496974275,0.6514578649925219

inception_v3,Adam,0.0001,0.28397898285372836,0.2803939438953593

inception_v3,Adam,8e-05,0.2549049595521914,0.25643187267957507

efficientnet_b1,Adam,0.0002,0.24658953331309516,0.24250105483343407

efficientnet_b1,Adam,5e-05,0.3281944898926482,0.3377966010296831

